stock_code,transaction_date,closing_price,matched_volume,matched_value,foreign_net_volume,foreign_net_value,proprietary_net_volume,proprietary_net_value,buy_orders,buy_volume,sell_orders,sell_volume
VNM,2021-12-22,85.400000000000000000,1844400,157.900000000000000000,117300,10.05,,,3258,3100200,2173,3618200
BID,2021-08-04,43.000000000000000000,2111700,91.270000000000000000,73200,3.18,,,2393,3405000,2863,4733900
BID,2021-08-03,43.350000000000000000,2765600,117.450000000000000000,202000,8.57,,,2307,5090900,2494,4565400
BID,2021-08-02,42.550000000000000000,3961400,168.480000000000000000,341300,14.61,,,3011,6644000,4582,7094300
BID,2021-07-30,41.100000000000000000,2031500,83.590000000000000000,-2700,-1.11,,,2440,3453700,2503,3846700
BID,2021-07-29,41.000000000000000000,1179900,48.180000000000000000,-3300,-1.35,,,1623,1876400,2077,2500900
BID,2021-07-28,40.500000000000000000,1233300,49.660000000000000000,87400,3.53,,,1842,2353300,1340,2683800
BID,2021-07-27,40.200000000000000000,1428900,57.810000000000000000,-44700,-1.80,,,1965,2442200,1744,2869800
BID,2021-07-23,40.200000000000000000,1823500,74.420000000000000000,7300,0.30,,,2930,3722300,2375,3784100
BID,2021-07-22,41.000000000000000000,1700900,69.630000000000000000,-348100,-14.25,,,1963,3048000,1773,3128100
BID,2021-07-21,40.700000000000000000,1157700,47.310000000000000000,10390,4.24,,,2371,2809200,1423,2175100
BID,2021-07-20,41.000000000000000000,2713600,107.880000000000000000,-10030,-3.85,,,3835,5450500,2948,4265100
BID,2021-07-19,39.650000000000000000,2960800,120.430000000000000000,29100,1.17,,,3746,5141400,2261,5062000
BID,2021-07-16,42.500000000000000000,1416400,60.560000000000000000,10030,4.30,,,1547,2604700,1863,3509100
BID,2021-07-15,42.700000000000000000,1793200,76.560000000000000000,-16600,-0.71,,,2091,3451000,2536,4071400
BID,2021-07-14,42.600000000000000000,1788900,75.040000000000000000,29740,12.59,,,2567,3125400,1915,3029800
BID,2021-07-13,42.400000000000000000,1982500,83.810000000000000000,-23900,,,,2537,3900700,2191,3517700
BID,2021-07-12,42.000000000000000000,6021800,255.130000000000000000,423600,17.84,,,5203,7472400,3373,8881000
BID,2021-07-09,44.900000000000000000,3587800,161.790000000000000000,1070100,48.12,,,3733,5626400,2663,6590100
BID,2021-07-08,45.800000000000000000,2127400,97.190000000000000000,110100,4.86,,,0,0,0,0
